3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
PGM_f, 2pg_1_2 --> 3pg_1_2
PGM_f, 2pg_1_2_3 --> 3pg_1_2_3
PGM_b, 3pg_2_3 --> 2pg_2_3
PGM_b, 3pg_3 --> 2pg_3
PGM_b, 3pg_1_2_3 --> 2pg_1_2_3
PGM_f, 2pg_3 --> 3pg_3
PGM_f, 2pg_2_3 --> 3pg_2_3
PHETA1_b, glu-L_1 --> akg_1
PGM_b, 3pg_2 --> 2pg_2
PGM_f, 2pg_1 --> 3pg_1
PGM_f, 2pg_2 --> 3pg_2
SACCD2_f, saccrp-L_4 --> akg_4
SERATi, accoa_1_2 --> acser_4_5
SERATi, accoa_1 --> acser_4
SACCD2_f, saccrp-L_2_3_4_5 --> akg_2_3_4_5
SACCD2_f, saccrp-L_5 --> akg_5
SACCD2_f, saccrp-L_2_3 --> akg_2_3
SACCD2_f, saccrp-L_3_4_5 --> akg_3_4_5
SACCD2_f, saccrp-L_3 --> akg_3
SACCD2_f, saccrp-L_3_4 --> akg_3_4
SACCD2_f, saccrp-L_4_5 --> akg_4_5
SACCD2_f, saccrp-L_2_3_4 --> akg_2_3_4
MDHm_f, (0.5) mal-L_m_1 --> (0.5) oaa_m_4
MDHm_f, (0.5) mal-L_m_1 --> (0.5) oaa_m_1
MDHm_f, mal-L_m_2_3 --> oaa_m_2_3
MDHm_f, (0.5) mal-L_m_2 --> (0.5) oaa_m_2
MDHm_f, (0.5) mal-L_m_1_2_3 --> (0.5) oaa_m_2_3_4
MDHm_f, mal-L_m_1_2_3_4 --> oaa_m_1_2_3_4
MDHm_f, (0.5) mal-L_m_1_2 --> (0.5) oaa_m_1_2
MDHm_f, (0.5) mal-L_m_2_3_4 --> (0.5) oaa_m_1_2_3
MDHm_f, (0.5) mal-L_m_1_2 --> (0.5) oaa_m_3_4
MDHm_f, (0.5) mal-L_m_2 --> (0.5) oaa_m_3
MDHm_f, (0.5) mal-L_m_1_2_3 --> (0.5) oaa_m_1_2_3
TA2_f, s7p_5 --> e4p_2
TA2_f, s7p_5_6 --> e4p_2_3
TA2_f, s7p_7 --> e4p_4
TA2_f, s7p_4_5_6_7 --> e4p_1_2_3_4
TA2_f, s7p_6 --> e4p_3
THRAi, thr-L_1_2 --> gly_1_2
THRAi, thr-L_3 --> acald_1
TA2_f, s7p_3 --> TAC3_3
TA2_f, s7p_6_7 --> e4p_3_4
TA2_f, s7p_5_6_7 --> e4p_2_3_4
TA2_f, s7p_4 --> e4p_1
RPE_b, xu5p-D_1_2 --> ru5p-D_1_2
PYRt2m_f, pyr_1_2_3 --> pyr_m_1_2_3
PYRt2m_f, pyr_2 --> pyr_m_2
PYRt2m_f, pyr_1 --> pyr_m_1
PYRt2m_f, pyr_2_3 --> pyr_m_2_3
PYRt2m_f, pyr_1_2 --> pyr_m_1_2
PYRt2m_b, pyr_m_2_3 --> pyr_2_3
RPE_b, xu5p-D_1 --> ru5p-D_1
PYRt2m_b, pyr_m_3 --> pyr_3
PYRt2m_f, pyr_3 --> pyr_m_3
MDHm_b, (0.5) oaa_m_2_3_4 --> (0.5) mal-L_m_1_2_3
MDHm_b, (0.5) oaa_m_3 --> (0.5) mal-L_m_3
MDHm_b, (0.5) oaa_m_3_4 --> (0.5) mal-L_m_3_4
MDHm_b, (0.5) oaa_m_2 --> (0.5) mal-L_m_2
MDHm_b, (0.5) oaa_m_2_3_4 --> (0.5) mal-L_m_2_3_4
MDHm_b, (0.5) oaa_m_3 --> (0.5) mal-L_m_2
MDHm_b, (0.5) oaa_m_4 --> (0.5) mal-L_m_4
MDHm_b, (0.5) oaa_m_4 --> (0.5) mal-L_m_1
MDHm_b, (0.5) oaa_m_2 --> (0.5) mal-L_m_3
MDHm_b, oaa_m_2_3 --> mal-L_m_2_3
MDHm_b, (0.5) oaa_m_3_4 --> (0.5) mal-L_m_1_2
SACCD1_f, glu-L_3_4 --> saccrp-L_3_4
SACCD2_b, akg_2 --> saccrp-L_2
