3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
ASPKi, asp-L_3 --> 4pasp_3
ASPTA_b, glu-L_2_3_4 --> akg_2_3_4
ASPTA_b, glu-L_1 --> akg_1
FAS120, malcoa_3 --> co2_1
ETOHt_f, etoh_e_1 --> etoh_1
FAS100, malcoa_3 --> co2_1
ETOHt_f, etoh_e_1_2 --> etoh_1_2
ETOHt_b, etoh_2 --> etoh_e_2
FAS100COA, malcoa_3 --> co2_1
ETOHt_f, etoh_e_2 --> etoh_2
ALATA_L_b, glu-L_2_3 --> akg_2_3
AKGDbm, sdhlam_m_4 --> succoa_m_4
ALATA_L_b, glu-L_2 --> akg_2
AKGDbm, sdhlam_m_3_4 --> succoa_m_3_4
ALATA_L_b, glu-L_3 --> akg_3
ALATA_L_b, glu-L_2_3_4 --> akg_2_3_4
ALATA_L_b, glu-L_2_3_4_5 --> akg_2_3_4_5
ALATA_L_b, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
AKGDbm, sdhlam_m_3 --> succoa_m_3
ALATA_L_b, glu-L_1 --> akg_1
3C3HMPtm_b, 3c3hmp_m_7 --> 3c3hmp_7
RPE_f, ru5p-D_1_2 --> xu5p-D_1_2
RPE_b, xu5p-D_3_4 --> ru5p-D_3_4
RPE_b, xu5p-D_4_5 --> ru5p-D_4_5
RPE_b, xu5p-D_2 --> ru5p-D_2
RPE_b, xu5p-D_3_4_5 --> ru5p-D_3_4_5
RPE_f, ru5p-D_1 --> xu5p-D_1
RPE_b, xu5p-D_2_3_4_5 --> ru5p-D_2_3_4_5
RPE_b, xu5p-D_4 --> ru5p-D_4
RPE_b, xu5p-D_5 --> ru5p-D_5
RPE_f, ru5p-D_2 --> xu5p-D_2
RPE_b, xu5p-D_3 --> ru5p-D_3
PRPPS_b, prpp_3_4_5 --> r5p_3_4_5
PRPPS_b, prpp_1_2 --> r5p_1_2
PPND, pphn_1_2_3_4_5_6_7_8_9 --> 34hpp_1_2_3_4_5_6_7_8_9
PPNDH, pphn_1_2_3_4_5_6_7_8_9 --> phpyr_1_2_3_4_5_6_7_8_9
PPNDH, pphn_10 --> co2_1
PRPPS_b, prpp_3_4 --> r5p_3_4
PRPPS_b, prpp_1 --> r5p_1
PRPPS_b, prpp_2_3_4_5 --> r5p_2_3_4_5
PRPPS_b, prpp_2 --> r5p_2
PRPPS_b, prpp_3 --> r5p_3
ICL, icit_1 --> glx_1
ICL, icit_2 --> glx_2
ICL, icit_5 --> succ_2
ICL, icit_3_4 --> succ_3_4
ICL, icit_3_4_5_6 --> succ_1_2_3_4
ICL, icit_3_5_6 --> succ_1_2_3
ICL, icit_4 --> succ_4
LEUTA_b, glu-L_2_3 --> akg_2_3
ICL, icit_1_2 --> glx_1_2
ICL, icit_3 --> succ_3
ICL, icit_3_4_5 --> succ_2_3_4
ICL, icit_3_5 --> succ_2_3
HSERTA, accoa_1 --> achms_5
HSK, hom-L_1_2 --> phom_1_2
HSDxi, aspsa_1_2_3_4 --> hom-L_1_2_3_4
HSDxi, aspsa_1_2 --> hom-L_1_2
HSK, hom-L_3 --> phom_3
HSERTA, accoa_1_2 --> achms_5_6
HSERTA, accoa_2 --> achms_6
HSDxi, aspsa_4 --> hom-L_4
HSDxi, aspsa_3 --> hom-L_3
HSK, hom-L_1_2_3_4 --> phom_1_2_3_4
HSDxi, aspsa_3_4 --> hom-L_3_4
GLUPRT, gln-L_2_3 --> glu-L_2_3
GLUPRT, gln-L_3 --> glu-L_3
GLUPRT, gln-L_3_4_5 --> glu-L_3_4_5
GLUPRT, gln-L_4 --> glu-L_4
GLUPRT, gln-L_5 --> glu-L_5
GLUPRT, gln-L_4_5 --> glu-L_4_5
GLUPRT, gln-L_2_3_4 --> glu-L_2_3_4
GLUt7m, glu-L_1 --> glu-L_m_1
GLUPRT, gln-L_2_3_4_5 --> glu-L_2_3_4_5
GLUt7m, glu-L_1_2_3_4_5 --> glu-L_m_1_2_3_4_5
GLUPRT, gln-L_3_4 --> glu-L_3_4
HEX1, glc-D_4_5_6 --> g6p_4_5_6
HEX1, glc-D_3_4_5_6 --> g6p_3_4_5_6
HEX1, glc-D_4 --> g6p_4
HEX1, glc-D_2 --> g6p_2
HEX1, glc-D_1_2 --> g6p_1_2
HEX1, glc-D_1_2_3 --> g6p_1_2_3
HEX1, glc-D_1 --> g6p_1
HEX1, glc-D_2_3 --> g6p_2_3
HCO3E_f, co2_1 --> hco3_1
HCO3E_b, hco3_1 --> co2_1
HEX1, glc-D_4_5 --> g6p_4_5
HEX1, glc-D_3 --> g6p_3
GAPD_f, g3p_3 --> 13dpg_3
GLCt1, glc-D_e_2_3 --> glc-D_2_3
GLCt1, glc-D_e_4 --> glc-D_4
GLCt1, glc-D_e_3_4_5_6 --> glc-D_3_4_5_6
GHMT2r_f, ser-L_1_2 --> gly_1_2
GLCt1, glc-D_e_1_2_3 --> glc-D_1_2_3
GLCt1, glc-D_e_2 --> glc-D_2
GHMT2r_b, gly_1_2 --> ser-L_1_2
GLCt1, glc-D_e_1_2 --> glc-D_1_2
GLCt1, glc-D_e_1 --> glc-D_1
GLCt1, glc-D_e_3 --> glc-D_3
MDH_b, (0.5) oaa_4 --> (0.5) mal-L_4
MDH_f, (0.5) mal-L_1 --> (0.5) oaa_4
MDH_b, (0.5) oaa_4 --> (0.5) mal-L_1
MDH_b, (0.5) oaa_3 --> (0.5) mal-L_2
MDH_b, (0.5) oaa_3_4 --> (0.5) mal-L_1_2
MDH_b, (0.5) oaa_3_4 --> (0.5) mal-L_3_4
MDH_f, (0.5) mal-L_1_2 --> (0.5) oaa_1_2
MDH_b, (0.5) oaa_2_3_4 --> (0.5) mal-L_2_3_4
MDH_b, (0.5) oaa_2_3_4 --> (0.5) mal-L_1_2_3
MDH_b, (0.5) oaa_3 --> (0.5) mal-L_3
MDH_f, (0.5) mal-L_1 --> (0.5) oaa_1
FUM_f, fum_1_2_3 --> mal-L_1_2_3
FUMm_b, mal-L_m_1 --> fum_m_1
FUM_f, fum_2_3_4 --> mal-L_2_3_4
FUM_f, fum_3_4 --> mal-L_3_4
FUM_f, fum_3 --> mal-L_3
FUM_f, fum_1_2_3_4 --> mal-L_1_2_3_4
FUM_f, fum_2 --> mal-L_2
FUM_f, fum_2_3 --> mal-L_2_3
FUM_f, fum_1_2 --> mal-L_1_2
FUM_f, fum_1 --> mal-L_1
FUM_f, fum_4 --> mal-L_4
FUM_b, mal-L_4 --> fum_4
FUM_b, mal-L_1_2_3_4 --> fum_1_2_3_4
FUM_b, mal-L_3 --> fum_3
FUM_b, mal-L_1_2 --> fum_1_2
FUM_b, mal-L_3_4 --> fum_3_4
FBA_f, fdp_6 --> dhap_3
FUM_b, mal-L_2_3 --> fum_2_3
FUM_b, mal-L_2 --> fum_2
FUM_b, mal-L_1_2_3 --> fum_1_2_3
FUM_b, mal-L_2_3_4 --> fum_2_3_4
FUM_b, mal-L_1 --> fum_1
ME1m, mal-L_m_1 --> pyr_m_1
MDHm_f, (0.5) mal-L_m_3 --> (0.5) oaa_m_2
MDHm_f, (0.5) mal-L_m_3_4 --> (0.5) oaa_m_3_4
MDHm_f, (0.5) mal-L_m_4 --> (0.5) oaa_m_4
ME1m, mal-L_m_1_2 --> pyr_m_1_2
MDHm_f, (0.5) mal-L_m_3 --> (0.5) oaa_m_3
MDHm_f, (0.5) mal-L_m_4 --> (0.5) oaa_m_1
MDHm_f, (0.5) mal-L_m_3_4 --> (0.5) oaa_m_1_2
ME1m, mal-L_m_1_2_3 --> pyr_m_1_2_3
MDHm_f, (0.5) mal-L_m_2_3_4 --> (0.5) oaa_m_2_3_4
ME1m, mal-L_m_2 --> pyr_m_2
ICDHy, icit_3 --> akg_3
ICDHy, icit_2 --> akg_2
ICDHy, icit_1_2_3_5_6 --> akg_1_2_3_4_5
ICDHy, icit_1 --> akg_1
ICDHy, icit_2_3_5_6 --> akg_2_3_4_5
ICDHy, icit_3_5 --> akg_3_4
ICDHy, icit_4 --> co2_1
ICDHy, icit_2_3_5 --> akg_2_3_4
ICDHy, icit_2_3 --> akg_2_3
ICDHy, icit_3_5_6 --> akg_3_4_5
ICDHxm, icit_m_6 --> akg_m_5
OAAt2m_f, oaa_1 --> oaa_m_1
OAAt2m_b, oaa_m_3 --> oaa_3
OAAt2m_b, oaa_m_2_3_4 --> oaa_2_3_4
OAAt2m_b, oaa_m_1_2_3_4 --> oaa_1_2_3_4
OAAt2m_b, oaa_m_1_2_3 --> oaa_1_2_3
OAAt2m_b, oaa_m_4 --> oaa_4
OAAt2m_b, oaa_m_2 --> oaa_2
OAAt2m_b, oaa_m_3_4 --> oaa_3_4
OAAt2m_b, oaa_m_1 --> oaa_1
OAAt2m_b, oaa_m_1_2 --> oaa_1_2
OAAt2m_b, oaa_m_2_3 --> oaa_2_3
G6Pter_b, g6p_r_1_2 --> g6p_1_2
G6PDH2er, g6p_r_4_5_6 --> 6pgl_r_4_5_6
G6Pter_b, g6p_r_1_2_3 --> g6p_1_2_3
G6Pter_b, g6p_r_2 --> g6p_2
G6Pter_b, g6p_r_1 --> g6p_1
G6PDH2er, g6p_r_5_6 --> 6pgl_r_5_6
G6PDH2er, g6p_r_4_5 --> 6pgl_r_4_5
G6PDH2er, g6p_r_5 --> 6pgl_r_5
G6PDH2er, g6p_r_6 --> 6pgl_r_6
G6Pter_b, g6p_r_2_3 --> g6p_2_3
6PGLter_f, 6pgl_4_5_6 --> 6pgl_r_4_5_6
6PGLter_f, 6pgl_5_6 --> 6pgl_r_5_6
6PGLter_f, 6pgl_5 --> 6pgl_r_5
CITtcm_f, cit_2_3_5 --> cit_m_2_3_5
CITtcm_f, cit_3_4 --> cit_m_3_4
CITtcm_f, cit_2_3 --> cit_m_2_3
CITtcm_f, cit_3 --> cit_m_3
CITtcm_f, cit_2_3_4 --> cit_m_2_3_4
CITtcm_f, cit_2_3_5_6 --> cit_m_2_3_5_6
FUMm_f, fum_m_3 --> mal-L_m_3
FUMm_f, fum_m_4 --> mal-L_m_4
FUMm_f, fum_m_3_4 --> mal-L_m_3_4
FUMm_f, fum_m_2_3_4 --> mal-L_m_2_3_4
AATA_b, akg_2_3 --> glu-L_2_3
AATA_b, akg_2_3_4 --> glu-L_2_3_4
FAS60, malcoa_3 --> co2_1
FBA_b, dhap_1_2_3 --> fdp_4_5_6
FBA_b, dhap_1 --> fdp_4
FAS180, malcoa_3 --> co2_1
FAS80, malcoa_3 --> co2_1
FAS40, malcoa_3 --> co2_1
FAS60COA, malcoa_3 --> co2_1
FAS40COA, malcoa_3 --> co2_1
FBA_b, dhap_1_2 --> fdp_4_5
FAS80COA, malcoa_3 --> co2_1
FAS180COA, malcoa_3 --> co2_1
KARA1im, alac-S_m_5 --> 23dhmb_m_5
LEUTA_b, glu-L_3_4 --> akg_3_4
IPPS, 3mob_5 --> 3c3hmp_7
IPPSm, 3mob_m_1_2_3_4 + accoa_m_1_2 --> 3c3hmp_m_1_2_3_4_5_6
IPPSm, 3mob_m_5 --> 3c3hmp_m_7
KARA1im, alac-S_m_1_2_3_4_5 --> 23dhmb_m_1_2_3_4_5
KARA2im, 2ahbut_m_1_2_3_4_5_6 --> 23dhmp_m_1_2_3_4_5_6
KARA1im, alac-S_m_1_2_3_4 --> 23dhmb_m_1_2_3_4
LEUTA_b, 4mop_1_2_3_4_5_6 --> leu-L_1_2_3_4_5_6
LEUTA_b, glu-L_3_4_5 --> akg_3_4_5
ME2m, mal-L_m_2_3 --> pyr_m_2_3
ME1m, mal-L_m_3 --> pyr_m_3
ME2m, mal-L_m_1_2 --> pyr_m_1_2
ME2m, mal-L_m_4 --> co2_m_1
ME1m, mal-L_m_2_3 --> pyr_m_2_3
ME2m, mal-L_m_1 --> pyr_m_1
ME1m, mal-L_m_4 --> co2_m_1
ME2m, mal-L_m_1_2_3 --> pyr_m_1_2_3
ME2m, mal-L_m_3 --> pyr_m_3
ME2m, mal-L_m_2 --> pyr_m_2
GLNS, glu-L_1_2_3_4_5 --> gln-L_1_2_3_4_5
GLCt1, glc-D_e_5 --> glc-D_5
GLNS, glu-L_2 --> gln-L_2
GLCt1, glc-D_e_5_6 --> glc-D_5_6
GLCt1, glc-D_e_6 --> glc-D_6
GLNS, glu-L_2_3_4_5 --> gln-L_2_3_4_5
GLNS, glu-L_2_3_4 --> gln-L_2_3_4
GLNS, glu-L_2_3 --> gln-L_2_3
GLNS, glu-L_1 --> gln-L_1
GLCt1, glc-D_e_4_5 --> glc-D_4_5
GLCt1, glc-D_e_4_5_6 --> glc-D_4_5_6
AATA_b, akg_1 --> glu-L_1
CO2tm_b, co2_m_1 --> co2_1
ACL, cit_6 --> accoa_2
AATA_b, akg_3_4_5 --> glu-L_3_4_5
CITtcm_f, icit_m_2 --> icit_2
CITtcm_f, icit_m_1_2_3_5_6 --> icit_1_2_3_5_6
CITtcm_f, icit_m_2_3 --> icit_2_3
ASPTA_f, akg_1 --> glu-L_1
ASPTA_b, oaa_3_4 --> asp-L_3_4
ASPTA_b, oaa_4 --> asp-L_4
ASPTA_b, oaa_2_3_4 --> asp-L_2_3_4
ASPTA_b, oaa_3 --> asp-L_3
AATA_f, glu-L_3_4_5 --> akg_3_4_5
AATA_f, glu-L_3_4 --> akg_3_4
ADSL1r, dcamp_3 --> fum_3
ADSL1r, dcamp_1_2_3_4 --> fum_1_2_3_4
ADSL1r, dcamp_3_4 --> fum_3_4
ADSL1r, dcamp_4 --> fum_4
ADSS, asp-L_1_2 --> dcamp_1_2
ADSS, asp-L_1 --> dcamp_1
ADSL1r, dcamp_2_3_4 --> fum_2_3_4
ADSL1r, dcamp_2_3 --> fum_2_3
ADSL1r, dcamp_2 --> fum_2
ALATA_L_b, glu-L_3_4 --> akg_3_4
ALATA_L_b, pyr_1_2 --> ala-L_1_2
ALATA_L_b, glu-L_3_4_5 --> akg_3_4_5
ALATA_L_b, pyr_2 --> ala-L_2
ALATA_L_b, glu-L_5 --> akg_5
ALATA_L_b, glu-L_4_5 --> akg_4_5
ALATA_L_b, pyr_1 --> ala-L_1
ALATA_L_b, pyr_1_2_3 --> ala-L_1_2_3
ALATA_L_b, glu-L_4 --> akg_4
CITtam_f, cit_6 --> cit_m_6
CITtam_f, mal-L_m_2_3_4 --> mal-L_2_3_4
CITtam_f, cit_5_6 --> cit_m_5_6
CITtam_f, mal-L_m_3_4 --> mal-L_3_4
CITtam_f, mal-L_m_1_2 --> mal-L_1_2
CITtam_f, mal-L_m_1 --> mal-L_1
CITtam_f, mal-L_m_2_3 --> mal-L_2_3
CITtam_f, mal-L_m_1_2_3 --> mal-L_1_2_3
CITtam_f, mal-L_m_2 --> mal-L_2
CITtam_f, mal-L_m_3 --> mal-L_3
CITtam_f, mal-L_m_1_2_3_4 --> mal-L_1_2_3_4
G6PDH2, g6p_4 --> 6pgl_4
G6PDH2, g6p_2_3 --> 6pgl_2_3
G6PDH2, g6p_3 --> 6pgl_3
G6PDH2, g6p_1 --> 6pgl_1
G6PDH2, g6p_2 --> 6pgl_2
G6PDH2, g6p_3_4_5_6 --> 6pgl_3_4_5_6
FBA_b, dhap_2 --> fdp_5
FBA_b, g3p_3 --> fdp_1
FBA_b, g3p_1_2_3 --> fdp_1_2_3
FBA_b, g3p_1 --> fdp_3
LEUTA_b, glu-L_2 --> akg_2
FBA_b, g3p_2 --> fdp_2
FBA_b, g3p_1_2 --> fdp_2_3
FBA_b, dhap_3 --> fdp_6
FBA_b, g3p_2_3 --> fdp_1_2
FBA_b, dhap_2_3 --> fdp_5_6
OXAGm_f, oxag_m_5 --> co2_m_1
OXO2Ctm_b, akg_3_4 --> akg_m_3_4
OXO2Ctm_b, akg_2_3 --> akg_m_2_3
OXO2Ctm_b, akg_1 --> akg_m_1
OXO2Ctm_b, akg_2 --> akg_m_2
OXO2Ctm_b, akg_3 --> akg_m_3
OXO2Ctm_b, akg_3_4_5 --> akg_m_3_4_5
OXO2Ctm_b, akg_2_3_4_5 --> akg_m_2_3_4_5
OXO2Ctm_b, akg_1_2_3_4_5 --> akg_m_1_2_3_4_5
OXO2Ctm_b, akg_2_3_4 --> akg_m_2_3_4
ASPt2m_b, asp-L_m_2_3 --> asp-L_2_3
ASPTAm_f, asp-L_m_4 --> oaa_m_4
ASPt2m_b, asp-L_m_1_2_3_4 --> asp-L_1_2_3_4
ASPt2m_b, asp-L_m_2 --> asp-L_2
ASPt2m_b, asp-L_m_3 --> asp-L_3
ASPt2m_b, asp-L_m_1_2_3 --> asp-L_1_2_3
ASPt2m_b, asp-L_m_4 --> asp-L_4
ASPt2m_b, asp-L_m_1_2 --> asp-L_1_2
ASPt2m_b, asp-L_m_3_4 --> asp-L_3_4
ASPt2m_b, asp-L_m_2_3_4 --> asp-L_2_3_4
ASPt2m_b, asp-L_m_1 --> asp-L_1
CITtam_f, cit_2_3_4 --> cit_m_2_3_4
CITtam_f, cit_2_3_5 --> cit_m_2_3_5
CSm, accoa_m_1_2 + oaa_m_2 --> cit_m_3_5_6
CSm, accoa_m_2 + oaa_m_1_2 --> cit_m_3_4_5
CSm, accoa_m_1_2 --> cit_m_5_6
CSm, accoa_m_1_2 + oaa_m_2_3 --> cit_m_2_3_5_6
CSm, accoa_m_2 + oaa_m_2 --> cit_m_3_5
CSm, accoa_m_2 + oaa_m_2_3 --> cit_m_2_3_5
CSm, accoa_m_1_2 + oaa_m_2_3_4 --> cit_m_1_2_3_5_6
MALtm_f, mal-L_2_3 --> mal-L_m_2_3
MALtm_f, mal-L_2 --> mal-L_m_2
MCITDm_b, b124tc_m_5 --> hcit_m_5
MCITDm_f, hcit_m_5 --> b124tc_m_5
MALtm_f, mal-L_4 --> mal-L_m_4
MALtm_f, mal-L_1_2 --> mal-L_m_1_2
MALtm_f, mal-L_1_2_3 --> mal-L_m_1_2_3
MALtm_f, mal-L_3 --> mal-L_m_3
MALtm_f, mal-L_2_3_4 --> mal-L_m_2_3_4
MALtm_f, mal-L_3_4 --> mal-L_m_3_4
MALtm_f, mal-L_1_2_3_4 --> mal-L_m_1_2_3_4
HICITDm_b, oxag_m_5 --> hicit_m_5
HEX1, glc-D_5_6 --> g6p_5_6
HICITDm_f, hicit_m_5 --> oxag_m_5
HEX1, glc-D_5 --> g6p_5
HEX1, glc-D_6 --> g6p_6
ALATA_Lm_b, glu-L_m_4_5 --> akg_m_4_5
ALATA_Lm_b, glu-L_m_3_4 --> akg_m_3_4
ALATA_Lm_b, glu-L_m_2_3 --> akg_m_2_3
ALATA_Lm_b, glu-L_m_2_3_4_5 --> akg_m_2_3_4_5
ALATA_Lm_b, glu-L_m_2_3_4 --> akg_m_2_3_4
ALATA_Lm_b, glu-L_m_3_4_5 --> akg_m_3_4_5
ALATA_Lm_b, glu-L_m_3 --> akg_m_3
ALATA_Lm_b, glu-L_m_4 --> akg_m_4
ALATA_Lm_b, glu-L_m_2 --> akg_m_2
ASPTAm_f, akg_m_2_3_4_5 --> glu-L_m_2_3_4_5
ASPTAm_f, akg_m_3 --> glu-L_m_3
ASPTAm_f, akg_m_4 --> glu-L_m_4
ASPTAm_f, akg_m_2_3 --> glu-L_m_2_3
ASPTAm_f, akg_m_1_2_3_4_5 --> glu-L_m_1_2_3_4_5
ASPTAm_f, akg_m_2 --> glu-L_m_2
ASPTAm_f, akg_m_3_4 --> glu-L_m_3_4
ASPTAm_f, akg_m_3_4_5 --> glu-L_m_3_4_5
ASPTAm_f, akg_m_2_3_4 --> glu-L_m_2_3_4
CSm, oaa_m_1 --> cit_m_4
CSm, oaa_m_1_2_3_4 --> cit_m_1_2_3_4
CSm, oaa_m_2_3_4 --> cit_m_1_2_3
CSm, oaa_m_1_2_3 --> cit_m_2_3_4
CSm, oaa_m_1_2 --> cit_m_3_4
CSm, accoa_m_2 --> cit_m_5
CSm, oaa_m_2_3 --> cit_m_2_3
CSm, oaa_m_2 --> cit_m_3
ACOTAim, glu-L_m_1 --> akg_m_1
ACONTm_f, cit_m_5_6 --> icit_m_5_6
ACOTAim, acg5sa_m_1_2_3_4_5 --> acorn_m_1_2_3_4_5
ACONTm_f, cit_m_5 --> icit_m_5
ACONTm_f, cit_m_6 --> icit_m_6
ACONTm_f, cit_m_3_5_6 --> icit_m_3_5_6
ACONTm_f, cit_m_4 --> icit_m_4
ACONT_b, icit_1_2_3_5_6 --> cit_1_2_3_5_6
ACONT_b, icit_1_2_3_4 --> cit_1_2_3_4
ACONT_b, icit_1 --> cit_1
ACONT_b, icit_1_2 --> cit_1_2
ACLSm, pyr_m_3 --> alac-S_m_5
ACONT_b, icit_1_2_3 --> cit_1_2_3
ACONT_b, icit_2 --> cit_2
ARGSL_f, (0.5) argsuc_8_9_10 --> (0.5) fum_1_2_3
ARGSL_f, (0.5) argsuc_9 --> (0.5) fum_3
ARGSL_f, (0.5) argsuc_7_8_9 --> (0.5) fum_1_2_3
ARGSL_f, (0.5) argsuc_8 --> (0.5) fum_3
ARGSL_f, (0.5) argsuc_8_9_10 --> (0.5) fum_2_3_4
ARGSL_f, (0.5) argsuc_9_10 --> (0.5) fum_1_2
ARGSL_f, argsuc_7_8_9_10 --> fum_1_2_3_4
ARGSL_f, argsuc_8_9 --> fum_2_3
ARGSL_f, (0.5) argsuc_9 --> (0.5) fum_2
ARGSL_f, (0.5) argsuc_8 --> (0.5) fum_2
ARGSL_f, (0.5) argsuc_7_8_9 --> (0.5) fum_2_3_4
AKGDam, akg_m_2_3_4 --> sdhlam_m_1_2_3
AKGDam, akg_m_5 --> sdhlam_m_4
AKGDam, akg_m_2_3_4_5 --> sdhlam_m_1_2_3_4
AKGDbm, sdhlam_m_1 --> succoa_m_1
AKGDam, akg_m_3_4_5 --> sdhlam_m_2_3_4
AKGDbm, sdhlam_m_1_2 --> succoa_m_1_2
AKGDam, akg_m_4_5 --> sdhlam_m_3_4
AKGDam, akg_m_3_4 --> sdhlam_m_2_3
AKGDam, akg_m_4 --> sdhlam_m_3
AKGDam, akg_m_3 --> sdhlam_m_2
AKGDbm, sdhlam_m_1_2_3 --> succoa_m_1_2_3
ASNS1, gln-L_4_5 --> glu-L_4_5
ASNS1, gln-L_3_4_5 --> glu-L_3_4_5
ASNS1, gln-L_2_3_4 --> glu-L_2_3_4
ASNS1, gln-L_2_3 --> glu-L_2_3
ASNS1, gln-L_5 --> glu-L_5
ASNS1, gln-L_3_4 --> glu-L_3_4
ASPKi, asp-L_1_2 --> 4pasp_1_2
ASNS1, gln-L_2_3_4_5 --> glu-L_2_3_4_5
ASNS1, gln-L_3 --> glu-L_3
ASNS1, gln-L_4 --> glu-L_4
ASPt2m_f, asp-L_2_3 --> asp-L_m_2_3
ASPt2m_f, asp-L_1_2_3 --> asp-L_m_1_2_3
ASPt2m_f, asp-L_3 --> asp-L_m_3
ASPt2m_f, asp-L_1_2_3_4 --> asp-L_m_1_2_3_4
ASPt2m_f, asp-L_3_4 --> asp-L_m_3_4
ASPt2m_f, asp-L_1 --> asp-L_m_1
ASPt2m_f, asp-L_4 --> asp-L_m_4
CBPS, gln-L_1 --> glu-L_1
ASPt2m_f, asp-L_1_2 --> asp-L_m_1_2
ASPt2m_f, asp-L_2 --> asp-L_m_2
ASPt2m_f, asp-L_2_3_4 --> asp-L_m_2_3_4
G6Pter_f, g6p_2_3 --> g6p_r_2_3
G6Pter_f, g6p_4_5 --> g6p_r_4_5
G6Pter_f, g6p_3_4_5_6 --> g6p_r_3_4_5_6
G6Pter_f, g6p_5_6 --> g6p_r_5_6
G6Pter_f, g6p_2 --> g6p_r_2
G6Pter_f, g6p_4 --> g6p_r_4
G6Pter_f, g6p_5 --> g6p_r_5
G6Pter_f, g6p_6 --> g6p_r_6
G6Pter_f, g6p_4_5_6 --> g6p_r_4_5_6
G6Pter_f, g6p_3 --> g6p_r_3
GAPD_b, 13dpg_1 --> g3p_1
GLUt7m, glu-L_2_3 --> glu-L_m_2_3
GLUt7m, glu-L_2_3_4_5 --> glu-L_m_2_3_4_5
GLUt7m, glu-L_2_3_4 --> glu-L_m_2_3_4
GLUt7m, glu-L_3 --> glu-L_m_3
MDH_b, oaa_2_3 --> mal-L_2_3
MDH_b, (0.5) oaa_2 --> (0.5) mal-L_2
MDH_b, (0.5) oaa_1_2 --> (0.5) mal-L_3_4
MDH_b, (0.5) oaa_1_2 --> (0.5) mal-L_1_2
MDH_b, (0.5) oaa_2 --> (0.5) mal-L_3
MDH_b, (0.5) oaa_1 --> (0.5) mal-L_4
MDH_b, oaa_1_2_3_4 --> mal-L_1_2_3_4
MDH_b, (0.5) oaa_1_2_3 --> (0.5) mal-L_1_2_3
MDH_b, (0.5) oaa_1 --> (0.5) mal-L_1
MDH_b, (0.5) oaa_1_2_3 --> (0.5) mal-L_2_3_4
AGTi, ala-L_2_3 --> pyr_2_3
AGTi, ala-L_3 --> pyr_3
AHSERL2, achms_5 --> ac_1
AGTi, glx_1_2 --> gly_1_2
AHSERL2, achms_5_6 --> ac_1_2
AKGDam, akg_m_1 --> co2_m_1
AKGDam, akg_m_2 --> sdhlam_m_1
AGTi, ala-L_2 --> pyr_2
AGTi, ala-L_1_2_3 --> pyr_1_2_3
AHSERL2, achms_6 --> ac_2
ASPTAm_f, akg_m_1 --> glu-L_m_1
ASPTAm_b, oaa_m_3_4 --> asp-L_m_3_4
ASPTAm_b, oaa_m_4 --> asp-L_m_4
CBPS, gln-L_5 --> glu-L_5
CBPS, hco3_1 --> cbp_1
CHORM, chor_1_2_3_4_5_6_7_8_9 --> pphn_1_2_3_4_5_6_7_8_9
CHORM, chor_10 --> pphn_10
CITtcm_f, icit_m_2_3_5 --> icit_2_3_5
CITtcm_f, icit_m_3 --> icit_3
CITtcm_f, icit_m_2_3_4 --> icit_2_3_4
CITtcm_f, icit_m_2_3_5_6 --> icit_2_3_5_6
LEUTA_b, glu-L_1 --> akg_1
CITtam_b, mal-L_1_2 --> mal-L_m_1_2
CITtam_b, cit_m_5_6 --> cit_5_6
CITtam_b, cit_m_5 --> cit_5
CITtam_b, mal-L_1 --> mal-L_m_1
CITtam_b, mal-L_1_2_3 --> mal-L_m_1_2_3
CITtam_b, cit_m_6 --> cit_6
AATA_b, akg_1_2_3_4_5 --> glu-L_1_2_3_4_5
AATA_b, akg_2 --> glu-L_2
ACONTm_f, cit_m_3 --> icit_m_3
ACONTm_f, cit_m_3_4_5 --> icit_m_3_4_5
ACONTm_f, cit_m_3_5 --> icit_m_3_5
ACONTm_f, cit_m_3_4_5_6 --> icit_m_3_4_5_6
ACONTm_f, cit_m_3_4 --> icit_m_3_4
ARGSL_b, (0.5) fum_1_2 --> (0.5) argsuc_7_8
ARGSL_b, (0.5) fum_1 --> (0.5) argsuc_10
ARGSL_b, fum_1_2_3_4 --> argsuc_7_8_9_10
ARGSL_b, (0.5) fum_1_2_3 --> (0.5) argsuc_7_8_9
ALDD2y, acald_1_2 --> ac_1_2
ARGSL_b, (0.5) fum_1 --> (0.5) argsuc_7
ARGSL_b, (0.5) fum_1_2 --> (0.5) argsuc_9_10
ARGSL_b, (0.5) fum_1_2_3 --> (0.5) argsuc_8_9_10
ARGSL_b, arg-L_1_2_3_4_5_6 --> argsuc_1_2_3_4_5_6
ARGSL_b, (0.5) fum_2 --> (0.5) argsuc_8
ALDD2y, acald_2 --> ac_2
LEUTA_b, glu-L_2_3_4 --> akg_2_3_4
OXO2Ctm_f, akg_m_4_5 --> akg_4_5
PC, hco3_1 --> oaa_4
OXO2Ctm_f, akg_m_5 --> akg_5
OXO2Ctm_f, akg_m_4 --> akg_4
OXO2Ctm_f, akg_m_3_4_5 --> akg_3_4_5
PC, hco3_1 + pyr_3 --> oaa_3_4
PC, hco3_1 + pyr_2_3 --> oaa_2_3_4
OXO2Ctm_f, akg_m_3_4 --> akg_3_4
